Food_Item,Calories,Protein_g,Fat_g,Carbs_g
phirni,116.12,3.49,4.34,16.11
semolina halwa (suji ka halwa),225.65,2.16,13.38,24.67
shahi suji halwa,382.34,3.48,21.73,44.44
carrot halwa (gajar ka halwa),172.64,3.11,9.73,18.53
egg halwa (ande ka halwa),299.74,7.85,13.41,39.59
potato halwa (aloo ka halwa),151.66,1.53,3.48,29.18
pumpkin halwa (kaddu ka halwa),190.27,1.33,8.81,27.6
moong dal halwa,349.8,8.35,17.68,40.23
caramel custard (steamed),121.58,4.97,4.87,15.02
baked custard,106.53,5.41,5.3,9.45
soft custard (stirred),109.18,5.01,5.07,11.19
chocolate ice cream,177.7,4.47,11.25,15.41
mango ice cream,125.69,3.4,7.62,11.14
fruit ice cream (phalon ka ice cream),171.46,4.37,10.38,16.05
caramel ice cream,173.52,4.31,11.15,14.81
lemon souffle,168.51,6.95,10.02,13.43
orange souffle,168.28,6.8,9.73,14.2
vanilla souffle,187.85,7.71,11.19,14.78
chocolate souffle,189.32,7.88,11.36,14.74
pineapple souffle,196.14,8.06,11.72,15.52
apple mousse,106.92,4.21,4.27,12.77
rich chocolate mousse,188.26,7.96,12.19,10.84
mango mousse,124.98,3.21,8.47,9.14
orange and pineapple cream,101.18,1.44,5.43,11.96
charlotte rousse,188.29,3.95,4.78,34.08
triffle pudding,116.97,2.93,3.93,18.24
snow flakes pudding,95.21,4.67,4.97,8.07
kulfi,98.43,3.21,4.7,11.3
steamed orange pudding,278.03,2.34,12.04,41.53
meringue and rice pudding,112.93,4.84,4.05,14.6
cheese pudding,285.01,11.29,18.37,19.27
chocolate pudding,211.96,3.55,9.48,29.59
bread and butter pudding,167.94,5.59,7.88,19.63
queen of pudding,132.92,5.51,5.38,16.35
pineapple upside down pudding,257.73,3.15,11.91,35.73
date and nut pie,322.42,3.93,13.31,46.86
stewed apple with custard,92.87,1.27,1.82,18.36
apple snowballs,101.51,0.86,0.31,24.58
hot orange souffle,179.97,6.87,8.95,18.77
hot chocolate souffle,226.09,6.7,11.1,26.21
hot vanilla souffle,192.93,6.87,9.07,21.77
plain burfi (burfi),408.32,9.82,27.96,30.88
coconut burfi (nariyal ki burfi),467.64,8.81,34.63,32.15
bottle gourd burfi (ghiya/lauki burfi),275.96,5.86,17.68,24.51
chocolate burfi,339.33,13.0,17.86,33.15
cashewnut burfi (kaju burfi/kaju katli),421.74,5.48,28.46,37.92
gram flour burfi (besan burfi),421.79,11.19,22.41,46.59
semolina ladoo with khoya (suji/rava aur khoye ke ladoo ),428.71,6.71,21.86,52.86
semolina ladoo with coconut (suji/rava aur nariyal ke ladoo ),464.43,5.68,27.03,50.9
gram flour ladoo (besan ladoo),476.91,8.93,22.76,62.61
sesame ladoo (til ke ladoo),396.96,10.7,19.64,43.5
chenna murki,252.69,10.46,8.2,36.01
milk cake,127.41,3.01,8.93,9.13
ghujia/lavang latika,768.98,1.86,78.93,13.0
gulab jamun with khoya,586.06,2.03,53.23,26.09
mal pua,566.68,1.71,54.64,17.56
shahi tukre,189.81,2.76,2.54,41.46
potato pakora/pakoda (aloo pakoda),677.19,1.9,71.84,6.04
onion pakora/pakoda (pyaaz ke pakode),674.61,1.9,71.84,5.41
cauliflower pakora/pakoda (phoolgobhi ke pakode),671.63,1.98,71.86,4.52
mixed vegetable pakora/pakoda,673.81,1.94,71.86,5.12
spinach pakora/pakoda (palak pakoda),712.62,1.96,76.38,4.68
methi pakora/pakoda (methi ke pakode),713.25,2.06,76.39,4.68
egg pakora/pakoda (ande ke pakode),710.51,2.83,75.86,4.48
bread pakora/pakoda,710.99,2.57,74.2,8.87
paneer pakora/pakoda,718.12,3.27,76.05,5.52
potato bonda (aloo bonda),632.84,1.09,67.8,4.53
potato samosa (aloo ka samosa),577.39,1.71,59.19,9.21
minced meat samosa (keema ka samosa),620.99,4.43,64.26,6.14
paneer and pea samosa (paneer matar ka samosa),623.81,4.02,63.65,8.55
mathri,805.12,1.75,83.1,12.32
khasta kachori,712.73,2.51,72.27,12.81
vegetable cutlet,665.45,1.25,71.33,4.68
flattened rice cutlet (chirwa cutlet/chivda cutlet/poha cutlet),701.71,1.76,73.89,7.39
peanut cutlet (mungfali ke cutlet),698.77,2.63,74.0,5.68
fish cutlet (machli ka cutlet),654.64,2.77,70.11,3.13
paneer potato cutlet (paneer aloo cutlet),672.94,2.47,71.4,5.23
spinach chickpeas cutlet (palak channa dal cutlet),688.03,1.44,73.6,4.93
cheese toast,785.37,1.98,84.11,5.49
vegetable burger,519.93,3.26,50.63,13.69
cheese pizza,249.5,5.79,12.43,30.62
vegetable seekh kebab,690.73,1.57,73.72,5.32
masala vada,826.02,1.69,89.15,4.06
peanut sago vada (sabudana mungfali vada),749.89,1.01,79.82,7.14
vegeterian scotch egg,681.67,2.16,72.77,4.64
paneer shaslik/tikka,93.85,5.11,4.49,7.98
peanut brittle (moongfali ki chikki),320.46,6.94,11.13,47.46
spring roll,623.87,1.81,64.63,8.56
dry mango chutney (sookhe aam ki chutney),298.13,2.43,0.7,69.17
peanut chutney (mungfali ki chutney),258.37,11.8,19.06,9.87
coconut chutney (nariyal ki chutney),265.92,3.59,25.0,8.29
mint and coriander chutney (pudinay aur dhaniye ki chutney),102.6,2.81,0.51,21.18
custard tart,225.6,3.72,10.73,28.66
lemon tart,303.35,6.12,17.45,30.68
jam tart,360.72,4.42,17.35,46.18
orange cream tart,197.16,2.58,8.72,27.43
pineapple tart,195.4,2.29,8.21,28.62
cheese and mushroom tart,246.1,5.51,15.28,21.43
cottage cheese pie,238.98,7.45,13.83,20.66
minced meat pie,221.55,7.38,13.04,18.11
apple cinnamon pie,258.73,3.35,12.21,33.68
lemon meringue pie,224.43,3.88,8.16,35.11
chocolate meringue pie,214.76,4.98,9.17,28.8
cream puffs,221.33,4.7,15.48,16.0
chocolate eclairs,239.42,4.24,13.5,26.22
cheese balls,681.28,2.21,72.57,4.81
minced meat patties,265.72,6.88,19.57,15.25
cheese patties,324.01,7.38,22.67,22.23
hot cheese souffle,177.1,9.18,13.23,5.41
hot potato souffle,125.64,5.51,7.64,8.56
hot fish souffle,142.92,11.23,9.24,3.69
hot spinach souffle,104.25,5.43,7.24,4.19
plain cream cake,353.94,6.18,16.17,47.18
apple cake (seb ka cake),290.08,4.94,12.87,39.48
marble cake,354.11,6.3,16.27,46.88
chocolate cake,335.61,6.01,15.18,45.14
orange cake,357.61,6.1,16.21,48.28
fruit loaf,324.19,5.36,13.31,46.49
banana cake (kele ka cake),389.51,5.77,23.31,40.0
chocolate chiffon cake,311.71,5.76,15.8,37.87
christmas cake,372.95,5.49,16.88,48.29
strawberry and vanilla cake with butter icing,370.54,3.89,20.39,44.25
eggless cake,318.08,8.12,11.75,46.14
swiss roll,251.87,7.3,3.77,48.34
pineapple pastry,208.21,6.06,7.87,29.04
black forest pastry,233.55,6.09,8.46,34.48
coconut finger,274.86,7.09,8.86,42.56
pineapple cake,195.57,5.01,9.34,23.51
chocolate walnut cookies (chocolate aur akhrot ke cookies),424.8,6.56,23.62,47.1
chocolate chip cookies,425.29,5.79,19.38,57.98
sweet plain biscuit,380.76,5.86,17.67,50.29
chocolate biscuit,379.76,5.88,17.09,51.56
coconut biscuit (nariyal ke biscuit),434.98,5.78,27.16,42.9
sweet and salty biscuit (meethay aur namkeen biscuit),407.96,6.15,22.39,45.09
peanut biscuit,401.05,8.45,20.41,46.72
pin wheel biscuit,404.6,5.4,18.66,54.56
saffron biscuit (kesar biscuit),458.61,6.05,22.01,59.7
masala biscuit,393.64,6.06,20.75,45.18
ice box cookies,374.24,5.7,14.44,56.09
ginger bread man,365.0,6.61,11.01,60.26
danish cookies,475.33,5.33,24.92,58.0
short bread cookies,443.09,6.03,17.98,64.82
coffee biscuit,416.57,6.9,23.0,46.55
melting moments,437.91,5.71,21.78,55.84
ginger biscuit (adarak ke biscuit),417.91,5.98,18.31,58.44
soyabean muthias,839.33,2.46,90.45,3.7
soyabean tikki,698.17,3.53,74.02,4.39
soyabean namak paras,838.46,2.65,89.83,4.65
peanut burfi (moongfali ki burfi),550.99,9.31,36.84,48.14
spinach peanut namak paras (palak moongfali namak paras),740.16,1.65,78.51,6.62
gram flour and semolina chilla/cheela/savory pancake (besan suji chilla/cheela),758.89,2.08,80.04,7.63
rice moong dal cheela (chawal aur moong dal ka cheela),798.26,2.74,82.44,11.13
split bengal gram sweet rice (channa dal sweet rice),190.21,4.15,0.64,41.07
sweet poori (meethi poori),782.75,2.12,79.63,14.26
wheat flour and moong dal burfi (atta aur moong dal ki burfi),441.08,9.84,18.41,60.0
spinach burfi (palak burfi),121.17,2.71,6.81,12.76
sweet split chickpea roti (sweet channa dal roti/puranpoli),366.59,9.51,7.93,62.66
sprouted moong daliya,111.56,2.81,4.71,14.77
sprouted moong poha,192.6,5.59,6.89,26.6
pearl millet ladoo (bajra ladoo),319.66,9.61,8.06,50.98
paushtik ladoo,485.87,7.65,24.98,60.34
paushtik roti,149.26,7.17,1.51,26.59
semolina carrot vada (suji gajar vada),699.53,1.56,74.07,6.52
dhokla,216.49,13.45,5.28,30.68
kashmiri tea (kehwa),24.9,0.17,0.51,5.23
steeped hot coffee,15.91,0.39,0.33,3.01
hot chocolate,90.01,3.43,4.61,9.02
cold coffee (with cream),82.76,1.93,3.29,11.98
banana milkshake with ice cream (kele ka milkshake ice cream ke saath),76.45,2.01,2.77,11.15
flavoured milkshake,66.78,2.06,2.83,8.65
jal jeera,30.24,0.44,0.26,6.7
gingo,48.02,0.14,0.06,12.42
mintade,40.32,0.03,0.02,10.59
canjee,6.61,0.24,0.42,0.44
cauliflower canjee (phoolgobhi ki canjee),6.9,0.39,0.42,0.35
potato canjee (aloo canjee),16.26,0.44,0.39,2.69
vermicelli porridge (semiya/seviyan porridge),78.4,2.5,2.98,10.56
semolina upma (suji/rava upma),147.89,3.3,7.49,16.31
vermicelli upma (semiya/seviyan upma),149.11,3.11,7.45,16.88
rice upma,151.27,2.63,7.46,17.96
bread upma,129.51,2.8,7.75,12.6
vegetable upma,146.47,4.73,6.63,16.46
poha,294.53,6.09,14.14,35.05
vegetable poha,180.52,4.89,8.07,21.52
moong dal stuffed cheela/chilla (moong dal ka cheela/chilla),154.89,6.97,5.11,19.42
paneer stuffed cheela/chilla,205.19,11.44,8.89,19.16
indian style egg bhujia (anda bhujia (indian style)),102.83,6.1,7.02,3.76
french omelette/omlet,211.04,10.03,18.86,0.41
puffy omelette/omlet,188.15,8.82,16.84,0.08
orange omelette/omlet,194.66,8.93,16.84,1.68
cheese and mushroom omelette/omlet,205.63,9.69,17.82,1.68
spanish omelette/omlet,157.45,8.25,11.44,5.1
mixed stock,25.19,2.06,1.71,0.33
meat stock,24.48,2.1,1.78,0.0
white stock,6.99,0.07,0.56,0.4
meat consomme (with mutton),29.76,14.86,13.68,0.51
consomme au julienne,27.76,12.49,10.66,1.49
consomme au vermicelli,29.94,15.23,12.98,1.3
green pea soup (matar ka soup),39.81,11.06,12.9,3.63
spinach soup (palak ka soup),32.59,10.54,14.26,3.03
mixed vegetable soup,35.71,8.22,11.66,2.95
cheese soup,41.13,12.39,17.07,1.87
mulligatawny soup,54.42,11.26,13.28,8.24
cream of carrot soup,59.77,8.27,12.35,5.69
cream of broccoli soup,56.14,8.97,12.75,3.72
cream of potato soup,60.2,8.1,12.05,6.14
almond soup (badam ka soup),78.65,10.13,13.8,3.68
cold cucumber cream soup,11.88,0.34,0.34,1.76
cold tomato soup,16.9,0.11,1.56,0.59
chicken stew,127.55,7.19,8.91,4.44
veg paneer stew,145.55,6.98,8.41,10.22
onion-green chilli parantha/paratha (pyaaz aur hari mirch ka parantha/paratha),191.27,4.37,7.27,26.37
methi parantha/paratha,148.36,4.27,4.34,22.19
bathua poori,598.79,2.35,59.14,13.85
gram flour poori (besan poori),697.66,2.59,71.51,10.93
beetroot poori (chukandar ki poori),527.66,1.91,52.18,12.29
peas poori (matar ki poori),592.83,3.04,57.69,14.92
peas kachori (matar kachori),584.68,3.21,57.51,13.25
pizza,146.77,6.85,8.72,9.94
bacon and mushroom pancake,157.67,6.82,10.6,8.47
cheese and tomato pancake,147.39,5.15,9.28,10.66
minced meat pancake (with chicken),116.04,12.01,10.48,8.18
eggplant/brinjal rice (vangi bhat),184.8,5.28,3.67,31.74
kashmiri 'tahar',98.21,1.95,1.37,19.11
